Country;Response_measure;change;date_start;date_end
Austria;AdaptationOfWorkplace;1;10/03/2020;NA
Austria;ClosDaycare;1;16/03/2020;04/05/2020
Austria;ClosHigh;1;16/03/2020;30/09/2020
Austria;ClosPrim;1;16/03/2020;18/05/2020
Austria;ClosPubAny;1;16/03/2020;13/04/2020
Austria;ClosPubAnyPartial;1;14/04/2020;NA
Austria;ClosSec;1;16/03/2020;03/05/2020
Austria;ClosSecPartial;1;04/05/2020;03/06/2020
Austria;EntertainmentVenues;1;16/03/2020;30/04/2020
Austria;EntertainmentVenuesPartial;1;01/05/2020;29/05/2020
Austria;GymsSportsCentres;1;16/03/2020;30/04/2020
Austria;GymsSportsCentresPartial;1;01/05/2020;29/05/2020
Austria;HotelsOtherAccommodation;1;31/03/2020;29/05/2020
Austria;IndoorOver100;1;10/03/2020;15/03/2020
Austria;IndoorOver100;3;01/05/2020;01/07/2020
Austria;IndoorOver1000;1;02/07/2020;31/07/2020
Austria;IndoorOver1000;3;21/09/2020;NA
Austria;IndoorOver5;1;16/03/2020;30/04/2020
Austria;MasksMandatoryAllSpaces;1;14/09/2020;NA
Austria;MasksMandatoryClosedSpaces;1;06/04/2020;14/06/2020
Austria;MasksMandatoryClosedSpacesPartial;1;15/06/2020;13/09/2020
Austria;MasksVoluntaryClosedSpacesPartial;1;31/03/2020;05/04/2020
Austria;MassGatherAll;1;10/03/2020;31/07/2020
Austria;MassGatherAll;3;21/09/2020;NA
Austria;NonEssentialShops;1;16/03/2020;13/04/2020
Austria;NonEssentialShopsPartial;1;14/04/2020;01/05/2020
Austria;OutdoorOver1000;1;02/07/2020;31/07/2020
Austria;OutdoorOver1000;3;21/09/2020;NA
Austria;OutdoorOver5;1;16/03/2020;30/04/2020
Austria;OutdoorOver50;1;01/05/2020;29/05/2020
Austria;OutdoorOver500;1;10/03/2020;15/03/2020
Austria;OutdoorOver500;3;30/05/2020;01/07/2020
Austria;PlaceOfWorship;1;16/03/2020;14/05/2020
Austria;PlaceOfWorshipPartial;1;15/05/2020;NA
Austria;RestaurantsCafes;1;16/03/2020;15/05/2020
Austria;StayHomeGen;1;10/03/2020;15/03/2020
Austria;StayHomeOrder;1;16/03/2020;30/04/2020
Austria;Teleworking;1;10/03/2020;NA
Belgium;ClosDaycare;1;01/05/2020;02/06/2020
Belgium;ClosHigh;1;13/03/2020;NA
Belgium;ClosPrim;1;13/03/2020;17/05/2020
Belgium;ClosPrimPartial;1;18/05/2020;08/06/2020
Belgium;ClosPubAny;1;13/03/2020;03/05/2020
Belgium;ClosPubAnyPartial;1;04/05/2020;NA
Belgium;ClosSec;1;13/03/2020;17/05/2020
Belgium;ClosSecPartial;1;18/05/2020;28/08/2020
Belgium;EntertainmentVenues;1;13/03/2020;17/05/2020
Belgium;EntertainmentVenuesPartial;1;18/05/2020;NA
Belgium;GymsSportsCentres;1;13/03/2020;03/05/2020
Belgium;GymsSportsCentresPartial;1;04/05/2020;01/07/2020
Belgium;IndoorOver1000;1;10/03/2020;17/03/2020
Belgium;IndoorOver5;1;18/03/2020;30/06/2020
Belgium;IndoorOver500;1;01/07/2020;NA
Belgium;MasksMandatoryAllSpaces;1;11/07/2020;30/09/2020
Belgium;MasksMandatoryClosedSpaces;1;04/05/2020;NA
Belgium;MasksVoluntaryAllSpaces;1;04/05/2020;10/07/2020
Belgium;MasksVoluntaryAllSpacesPartial;1;01/10/2020;NA
Belgium;MassGatherAll;1;10/03/2020;NA
Belgium;NonEssentialShops;1;13/03/2020;03/05/2020
Belgium;NonEssentialShopsPartial;1;04/05/2020;02/06/2020
Belgium;OutdoorOver5;1;18/03/2020;30/06/2020
Belgium;OutdoorOver500;1;01/07/2020;NA
Belgium;PlaceOfWorship;1;13/03/2020;07/06/2020
Belgium;PlaceOfWorshipPartial;1;08/06/2020;05/10/2020
Belgium;RestaurantsCafes;1;13/03/2020;08/06/2020
Belgium;SocialCircle;1;18/03/2020;NA
Belgium;StayHomeGenPartial;1;11/05/2020;31/08/2020
Belgium;StayHomeOrder;1;18/03/2020;10/05/2020
Belgium;Teleworking;1;10/03/2020;07/06/2020
Belgium;TeleworkingPartial;1;08/06/2020;NA
Bulgaria;ClosDaycare;1;13/03/2020;21/05/2020
Bulgaria;ClosDaycarePartial;1;22/05/2020;14/06/2020
Bulgaria;ClosHigh;1;13/03/2020;31/05/2020
Bulgaria;ClosHighPartial;1;01/06/2020;NA
Bulgaria;ClosPrim;1;13/03/2020;NA
Bulgaria;ClosPubAny;1;13/03/2020;17/05/2020
Bulgaria;ClosPubAnyPartial;1;18/05/2020;NA
Bulgaria;ClosSec;1;13/03/2020;NA
Bulgaria;EntertainmentVenues;1;13/03/2020;17/05/2020
Bulgaria;EntertainmentVenuesPartial;1;18/05/2020;NA
Bulgaria;GymsSportsCentres;1;13/03/2020;31/05/2020
Bulgaria;GymsSportsCentresPartial;1;01/06/2020;14/06/2020
